REDCODE;ESCOLARIDAD_0;ESCOLARIDAD_1;ESCOLARIDAD_2;ESCOLARIDAD_3;ESCOLARIDAD_4;ESCOLARIDAD_5;ESCOLARIDAD_6;ESCOLARIDAD_7;ESCOLARIDAD_8;ESCOLARIDAD_9;ESCOLARIDAD_10;ESCOLARIDAD_11;ESCOLARIDAD_12;ESCOLARIDAD_13;ESCOLARIDAD_14;ESCOLARIDAD_15;ESCOLARIDAD_16;ESCOLARIDAD_17;ESCOLARIDAD_18;ESCOLARIDAD_19;ESCOLARIDAD_20;ESCOLARIDAD_21;Total
13123061004;10;1;2;5;8;4;14;6;24;5;35;17;230;23;92;111;201;773;36;213;28;55;1893
13123071001;12;4;5;4;8;6;31;12;29;24;81;26;374;37;130;164;271;659;18;175;15;35;2120
13123071002;30;2;4;1;15;8;23;7;19;9;67;20;294;30;113;135;197;856;54;268;28;81;2261
13123071003;4;2;4;1;10;4;5;1;14;4;21;4;84;9;40;48;81;258;10;60;7;18;689
13123081001;2;0;0;2;2;4;10;2;5;7;23;7;105;14;57;80;106;513;18;149;15;39;1160
13123081002;19;2;6;5;13;6;32;8;25;20;36;23;213;18;78;101;143;583;25;156;9;37;1558
13123081003;1;0;1;0;1;1;7;5;10;7;23;21;144;15;47;96;118;565;19;116;11;25;1233
13123081004;4;0;0;2;4;1;9;3;13;5;15;17;128;22;55;99;188;680;39;179;9;36;1508
13123991999;0;0;0;0;0;0;2;0;0;0;0;0;7;1;1;2;5;21;1;2;3;1;46
13124011001;43;15;20;39;64;28;84;34;118;41;87;55;422;17;33;26;29;40;0;3;0;0;1198
13124011002;47;11;25;50;74;57;140;49;226;98;188;91;794;23;95;91;53;89;0;4;0;3;2208
13124011003;57;24;32;62;65;58;169;69;211;78;137;113;667;27;79;69;42;64;0;5;0;1;2029
13124011004;47;22;25;51;70;48;149;35;174;94;149;77;610;17;63;52;26;41;2;0;0;0;1752
13124021001;111;29;48;96;142;98;213;123;501;164;281;162;1496;47;127;96;73;90;0;6;1;1;3905
13124021002;92;26;56;86;92;82;202;78;296;117;189;119;814;23;54;52;32;65;0;1;0;1;2477
13124021003;77;18;34;68;93;66;206;75;318;112;212;130;929;28;62;78;44;85;1;5;2;0;2643
13124021004;125;21;70;113;130;86;211;109;364;175;229;113;1007;34;93;90;54;99;3;2;0;0;3128
13124021005;11;1;7;13;6;10;43;10;59;33;61;51;741;48;156;178;149;382;6;24;2;5;1996
13124021006;22;8;16;20;31;36;86;55;262;92;201;112;1429;46;129;184;106;161;1;10;2;0;3009
13124031001;31;8;17;36;52;21;108;43;159;55;97;56;553;15;60;45;37;57;0;4;1;1;1456
13124031002;82;27;47;65;86;49;135;62;284;81;160;115;753;29;67;66;29;72;1;6;1;1;2218
13124031003;36;15;26;48;68;36;108;43;152;68;98;68;474;14;36;38;16;54;0;2;0;0;1400
13124031004;40;14;24;39;43;32;85;32;119;40;88;42;388;11;38;34;23;40;0;2;0;0;1134
13124041001;57;26;32;81;57;58;115;67;276;114;175;112;769;18;62;79;31;56;1;5;0;0;2191
13124041002;46;19;37;74;84;59;179;47;215;86;167;97;857;27;101;73;63;118;1;3;0;1;2354
13124041003;40;15;39;55;51;42;141;35;188;83;156;75;609;16;47;53;33;50;0;3;0;0;1731
13124041004;100;30;52;75;100;66;170;65;360;126;200;111;719;25;51;44;41;41;1;3;0;1;2381
13124041005;32;19;37;48;61;29;88;35;180;39;67;41;433;13;45;19;24;29;0;3;0;0;1242
13124051001;57;21;42;77;81;62;167;80;215;101;193;119;961;20;77;90;52;82;0;8;2;1;2508
13124051002;17;4;3;25;17;15;45;22;76;40;52;26;293;13;38;41;12;26;0;3;0;0;768
13124051003;60;19;34;73;92;52;171;54;261;96;200;129;1083;38;107;113;55;101;0;8;0;3;2749
13124051004;18;9;16;29;50;33;61;40;139;57;94;52;386;16;33;35;25;41;0;0;1;0;1135
13124061001;11;4;7;14;21;12;35;14;55;36;83;52;705;67;237;252;278;545;14;54;4;5;2505
13124061002;38;9;11;22;43;47;106;62;261;100;180;141;1315;69;222;194;138;226;1;22;1;4;3212
13124061003;18;4;5;16;21;13;50;30;125;52;106;62;641;19;102;92;65;108;2;7;0;0;1538
13124061004;18;1;14;16;29;24;58;21;140;46;105;81;1013;44;218;231;133;343;4;15;2;1;2557
13124061005;9;3;6;10;19;16;29;15;93;38;85;48;579;56;143;137;89;167;2;12;1;2;1559
13124061006;46;1;4;11;21;12;53;25;105;39;109;57;749;53;157;180;134;238;1;14;2;1;2012
13124061007;13;0;11;12;19;18;64;27;128;57;148;84;797;73;168;154;113;231;4;18;2;2;2143
13124061008;12;2;11;11;17;16;61;26;73;37;107;65;741;36;177;189;145;296;5;24;3;2;2056
13124061009;22;7;5;25;48;28;91;44;189;89;170;99;1151;55;198;184;111;191;8;13;0;2;2730
13124061010;55;19;35;48;78;82;123;87;349;126;214;106;857;30;66;66;44;66;0;2;0;1;2454
13124061011;41;13;25;48;56;61;120;72;318;117;167;100;693;31;59;45;21;44;0;0;0;1;2032
13124061012;36;4;26;43;54;50;96;70;260;99;193;96;1132;44;134;120;64;88;3;0;0;0;2612
13124061013;29;3;7;10;27;6;32;19;105;38;119;49;974;94;266;330;257;486;6;37;6;7;2907
13124061014;17;5;18;22;53;24;76;30;167;68;154;76;889;51;146;142;107;225;4;11;3;2;2290
13124061015;17;5;17;20;32;30;65;37;234;76;173;95;946;33;129;101;58;88;0;6;0;1;2163
13124061016;24;7;14;27;37;37;57;51;207;78;126;70;676;23;75;63;39;79;0;3;0;0;1693
13124061017;18;6;19;30;52;27;72;39;224;87;167;99;1102;48;131;129;78;101;1;5;2;0;2437
13124061018;36;8;23;32;42;40;117;61;207;94;197;119;1282;68;193;173;97;195;2;10;0;2;2998
13124061019;16;4;12;16;19;24;71;24;144;66;129;64;704;49;129;135;79;152;1;10;0;2;1850
13124061020;16;4;7;13;25;21;82;32;107;75;144;84;854;76;228;276;234;543;6;49;7;10;2893
13124061021;18;4;12;15;32;17;67;28;162;73;131;84;915;52;150;140;85;178;0;11;1;2;2177
13124061022;70;19;41;74;96;85;138;108;460;133;201;144;1056;21;102;81;36;60;0;3;1;0;2929
13124061023;37;12;25;61;74;79;114;68;284;103;183;97;686;28;49;76;33;40;0;1;0;1;2051
13124061024;24;9;17;27;46;35;74;43;259;102;189;123;1179;55;149;124;92;113;2;5;1;3;2671
13124062013;0;0;0;0;0;0;0;0;0;0;1;0;4;0;1;0;6;2;0;3;1;1;19
13124062901;1;0;0;1;0;0;0;0;2;0;2;2;2;0;0;0;1;5;0;0;0;0;16
13124071001;7;2;3;15;8;8;31;5;41;23;57;27;541;52;228;353;418;1271;21;182;17;21;3331
13124071002;6;1;1;2;5;2;19;2;34;22;57;48;460;48;220;321;425;1298;28;179;24;18;3220
13124071003;9;0;0;1;3;1;10;5;18;8;31;15;145;11;80;96;124;511;13;95;4;16;1196
13124071004;15;2;13;18;22;26;35;16;118;40;80;46;260;7;30;28;14;47;1;1;0;0;819
13124071005;21;3;6;12;34;19;46;34;72;27;43;32;243;2;22;34;14;45;0;2;0;0;711
13124072012;2;0;1;8;4;2;6;3;7;2;8;4;10;1;1;4;1;2;0;0;0;0;66
13124072016;3;0;3;5;11;3;5;8;25;11;14;5;50;2;6;4;5;4;0;0;0;0;164
13124072019;29;6;15;33;42;33;76;29;183;40;68;38;296;6;33;26;25;48;0;2;1;3;1032
13124081001;5;5;3;3;13;21;21;15;53;17;41;28;260;3;13;3;15;10;0;0;0;0;529
